ID;MARCA;MODELO
299;GURGEL;VIP
300;HAFEI;TOWNER
301;HONDA;ACCORD
302;HONDA;CITY
303;HONDA;CIVIC
304;HONDA;CR-V
305;HONDA;FIT
306;HONDA;ODYSSEY
307;HONDA;PASSPORT
308;HONDA;PRELUDE
309;HYUNDAI;ACCENT
310;HYUNDAI;ATOS
311;HYUNDAI;AZERA
312;HYUNDAI;COUPE
314;HYUNDAI;ELANTRA
315;HYUNDAI;EXCEL
316;HYUNDAI;GALLOPER
317;HYUNDAI;GENESIS
318;HYUNDAI;H1
319;HYUNDAI;H100
321;HYUNDAI;I30
323;HYUNDAI;IX35
324;HYUNDAI;MATRIX
325;HYUNDAI;PORTER
326;HYUNDAI;SANTA FE
327;HYUNDAI;SCOUPE
328;HYUNDAI;SONATA
329;HYUNDAI;TERRACAN
330;HYUNDAI;TRAJET
331;HYUNDAI;TUCSON
332;HYUNDAI;VELOSTER
333;HYUNDAI;VERACRUZ
337;JAC;J3
338;JAC;J5
339;JAC;J6
340;JAGUAR;DAIMLER
341;JAGUAR;S-TYPE
342;JAGUAR;X-TYPE
345;JAGUAR;MODELOS XJ
352;JAGUAR;MODELOS XK
354;JEEP;CHEROKEE
355;JEEP;COMMANDER
356;JEEP;COMPASS
357;JEEP;GRAND CHEROKEE
358;JEEP;WRANGLER
359;JINBEI;TOPIC VAN
360;JPX;JIPE MONTEZ
361;JPX;PICAPE MONTEZ
362;KIA;BESTA
363;KIA;BONGO
364;KIA;CADENZA
365;KIA;CARENS
366;KIA;CARNIVAL
367;KIA;CERATO
368;KIA;CERES
369;KIA;CLARUS
370;KIA;MAGENTIS
371;KIA;MOHAVE
372;KIA;OPIRUS
373;KIA;OPTIMA
374;KIA;PICANTO
375;KIA;SEPHIA
376;KIA;SHUMA
377;KIA;SORENTO
378;KIA;SOUL
379;KIA;SPORTAGE
380;LADA;LAIKA
381;LADA;NIVA
382;LADA;SAMARA
383;LAMBORGHINI;GALLARDO
384;LAMBORGHINI;MURCIELAGO
385;LAND ROVER;DEFENDER
386;LAND ROVER;DISCOVERY
389;LAND ROVER;FREELANDER
391;LAND ROVER;NEW RANGE
392;LAND ROVER;RANGE ROVER
393;LEXUS;ES
396;LEXUS;GS
397;LEXUS;IS-300
398;LEXUS;LS
400;LEXUS;RX
402;LEXUS;SC
403;LIFAN;320
404;LIFAN;620
405;LOBINI;H1
406;LOTUS;ELAN
407;LOTUS;ESPRIT
408;MAHINDRA;SCORPIO
409;MASERATI;222
410;MASERATI;228
411;MASERATI;3200
412;MASERATI;430
413;MASERATI;COUPE
414;MASERATI;GHIBLI
